condition,seed,graph_exists,png_exists,png_ok,homophily_ok,network_metrics_ok,metrics_have_required_scalars,cost_stats_ok,node_count,edge_count,node_count_ok,edge_count_ok
iterative_gpt-4.1-nano_n5_culture_japan,1,True,True,True,True,True,True,True,50,266,True,True
iterative_gpt-4.1-mini_n5_culture_japan,0,True,True,True,True,True,True,True,50,191,True,True
iterative_gpt-4.1-mini_n5_culture_japan,1,True,True,True,True,True,True,True,50,253,True,True
iterative_gpt-4.1_n5_culture_japan,0,True,True,True,True,True,True,True,50,190,True,True
iterative_gpt-4.1_n5_culture_japan,1,True,True,True,True,True,True,True,50,237,True,True
iterative_gpt-4.1-nano_n5_culture_brazil,0,True,True,True,True,True,True,True,50,212,True,True
iterative_gpt-4.1-nano_n5_culture_brazil,1,True,True,True,True,True,True,True,50,265,True,True
iterative_gpt-4.1-mini_n5_culture_brazil,0,True,True,True,True,True,True,True,50,187,True,True
iterative_gpt-4.1-mini_n5_culture_brazil,1,True,True,True,True,True,True,True,50,242,True,True
iterative_gpt-4.1_n5_culture_brazil,0,True,True,True,True,True,True,True,50,189,True,True
iterative_gpt-4.1_n5_culture_brazil,1,True,True,True,True,True,True,True,50,228,True,True
